batch_id,id,meta.code_1,meta.code_2,meta.code_3,meta.code_4,meta.code_5,meta.code_6,meta.code_7,meta.code_8,meta.code_9,meta.code_10,meta.code_11,meta.code_12,meta.code_13,meta.code_14,label,description
0792,no-exceptions-harriet-tubman-house-nashville-tennessee-prison-ministry-jeannie-alexander-mass-incarceration-abolition...,,,,,,,,,,,,,,,no-exceptions-harriet-tubman-house-nashville-tennessee-prison-ministry-jeannie-alexander-mass-incarceration-abolition...,
0793,Screen Shot 2020-10-23 at 2.56.03 PM.png,Art: miscellaneous (11) ,Art: Posters ,Community: miscellaneous (3) ,RJ/TJ,,,,,,,,,,,Screen Shot 2020-10-23 at 2.56.03 PM.png,"Art: miscellaneous (11) , Art: Posters , Community: miscellaneous (3) , RJ/TJ"
0794,Screen Shot 2020-10-23 at 2.56.18 PM.png,Art: miscellaneous (11) ,Art: Posters ,Community: Accountability ,RJ/TJ,,,,,,,,,,,Screen Shot 2020-10-23 at 2.56.18 PM.png,"Art: miscellaneous (11) , Art: Posters , Community: Accountability , RJ/TJ"
0795,Screen Shot 2020-12-28 at 7.39.56 AM.png,Art: Graffiti ,Art: miscellaneous (11) ,"Geography: Ferguson, MI",,,,,,,,,,,,Screen Shot 2020-12-28 at 7.39.56 AM.png,"Art: Graffiti , Art: miscellaneous (11) , Geography: Ferguson, MI"
0796,Screenshot 2020-06-06 at 11.15.53 PM.png,Art: miscellaneous (11) ,Community: miscellaneous (3) ,Community: Safety ,Elements: Earth ,Elements: Earth: Growth ,Environment,,,,,,,,,Screenshot 2020-06-06 at 11.15.53 PM.png,"Art: miscellaneous (11) , Community: miscellaneous (3) , Community: Safety , Elements: Earth , Elements: Earth: Growth , Environment"
0797,2:21:2022 [we_dont_like_cops] 1312.png,Carceral Imagery: Police Imagery ,Slogans: miscellaneous (7),,,,,,,,,,,,,2:21:2022 [we_dont_like_cops] 1312.png,"Carceral Imagery: Police Imagery , Slogans: miscellaneous (7)"
0798,3:21:2022 [an.art.chy_] abolish the police written over a flyer.png,Art: Graffiti ,Art: miscellaneous (11) ,Art: Posters,,,,,,,,,,,,3:21:2022 [an.art.chy_] abolish the police written over a flyer.png,"Art: Graffiti , Art: miscellaneous (11) , Art: Posters"
0799,3:22:2022 [an.art.chy_] stop sign says 'stop talking to cops'.png,Art: miscellaneous (11) ,Art: Stickers ,Carceral Imagery: Police Imagery,,,,,,,,,,,,3:22:2022 [an.art.chy_] stop sign says 'stop talking to cops'.png,"Art: miscellaneous (11) , Art: Stickers , Carceral Imagery: Police Imagery"
0800,2:24:2022 [sogoreatelandtrust] fence and grass.png,Carceral Imagery: Barb Wire/Fences/Walls ,Carceral Imagery: miscellaneous (5) ,Elements: Earth: Growth ,Elements: miscellaneous (8) ,Environment,,,,,,,,,,2:24:2022 [sogoreatelandtrust] fence and grass.png,"Carceral Imagery: Barb Wire/Fences/Walls , Carceral Imagery: miscellaneous (5) , Elements: Earth: Growth , Elements: miscellaneous (8) , Environment"
0801,3:02:2022 [erikruin] tree.png,Art: miscellaneous (11) ,Art: Painting ,Elements: Earth ,Elements: miscellaneous (8) ,Environment,,,,,,,,,,3:02:2022 [erikruin] tree.png,"Art: miscellaneous (11) , Art: Painting , Elements: Earth , Elements: miscellaneous (8) , Environment"
0802,"3:20:2022 [cindymilstein] nature, fire, police car.png",Art: miscellaneous (11) ,Carceral Imagery: Police Imagery ,Carceral Imagery: Police Imagery : Car ,Elements: Earth ,Elements: Earth: Growth,,,,,,,,,,"3:20:2022 [cindymilstein] nature, fire, police car.png","Art: miscellaneous (11) , Carceral Imagery: Police Imagery , Carceral Imagery: Police Imagery : Car , Elements: Earth , Elements: Earth: Growth"
0803,"3:02:2022 [culturestrike] The Future is Police Free -flowers, earth-.png",Art: miscellaneous (11) ,Elements: Earth: Growth ,Slogans: No Jails/Bail ,World-building: miscellaneous (6),,,,,,,,,,,"3:02:2022 [culturestrike] The Future is Police Free -flowers, earth-.png","Art: miscellaneous (11) , Elements: Earth: Growth , Slogans: No Jails/Bail , World-building: miscellaneous (6)"
0804,3:10:2022 [favianna1] War is not healthy for humans and other living things -flower- .png,Art: miscellaneous (11) ,Art: Posters ,Slogans: miscellaneous (7),,,,,,,,,,,,3:10:2022 [favianna1] War is not healthy for humans and other living things -flower- .png,"Art: miscellaneous (11) , Art: Posters , Slogans: miscellaneous (7)"
